filename,label,width,height,top,left
train/1.png,1.0,81.0,219.0,77.0,246.0
train/1.png,9.0,96.0,219.0,81.0,323.0
train/2.png,2.0,23.0,32.0,29.0,77.0
train/2.png,3.0,26.0,32.0,25.0,98.0
train/3.png,2.0,8.0,15.0,5.0,17.0
train/3.png,5.0,9.0,15.0,5.0,25.0
train/4.png,9.0,15.0,34.0,13.0,57.0
train/4.png,3.0,13.0,34.0,13.0,72.0
train/5.png,3.0,21.0,46.0,7.0,52.0
train/5.png,1.0,15.0,46.0,10.0,74.0
train/6.png,3.0,10.0,21.0,6.0,28.0
train/6.png,3.0,11.0,21.0,8.0,38.0
train/7.png,2.0,13.0,32.0,10.0,35.0
train/7.png,8.0,13.0,32.0,11.0,47.0
train/8.png,7.0,7.0,15.0,4.0,17.0
train/8.png,4.0,6.0,15.0,4.0,25.0
train/8.png,4.0,7.0,15.0,3.0,31.0
train/9.png,1.0,14.0,24.0,4.0,19.0
train/9.png,2.0,13.0,24.0,4.0,29.0
train/9.png,8.0,17.0,24.0,5.0,38.0
train/10.png,1.0,9.0,27.0,6.0,25.0
train/10.png,6.0,14.0,27.0,4.0,34.0
train/11.png,2.0,12.0,26.0,5.0,22.0
train/11.png,3.0,9.0,26.0,4.0,33.0
train/12.png,6.0,23.0,55.0,16.0,67.0
train/12.png,3.0,20.0,55.0,17.0,90.0
train/13.png,4.0,17.0,33.0,12.0,44.0
train/13.png,2.0,18.0,33.0,13.0,63.0
train/14.png,5.0,21.0,42.0,2.0,35.0
train/14.png,8.0,23.0,42.0,2.0,55.0
train/15.png,1.0,14.0,20.0,8.0,22.0
train/15.png,6.0,10.0,20.0,7.0,33.0
train/16.png,2.0,7.0,19.0,3.0,20.0
train/16.png,3.0,7.0,19.0,1.0,26.0
train/17.png,7.0,14.0,22.0,4.0,23.0
train/17.png,9.0,12.0,22.0,4.0,35.0
train/18.png,5.0,28.0,41.0,12.0,52.0
train/18.png,3.0,21.0,41.0,17.0,80.0
train/19.png,2.0,7.0,19.0,1.0,19.0
train/19.png,2.0,7.0,19.0,1.0,28.0
train/19.png,2.0,7.0,19.0,1.0,36.0
train/20.png,6.0,11.0,24.0,2.0,20.0
train/20.png,2.0,11.0,24.0,1.0,32.0
train/21.png,2.0,52.0,85.0,6.0,72.0
train/22.png,5.0,10.0,16.0,4.0,24.0
train/22.png,1.0,7.0,16.0,5.0,34.0
train/22.png,5.0,11.0,16.0,5.0,40.0
train/23.png,4.0,21.0,32.0,5.0,29.0
train/23.png,7.0,22.0,32.0,5.0,52.0
train/24.png,8.0,19.0,34.0,59.0,233.0
train/24.png,9.0,21.0,34.0,56.0,248.0
train/25.png,6.0,24.0,50.0,11.0,60.0
train/25.png,10.0,24.0,50.0,9.0,87.0
train/25.png,1.0,21.0,50.0,7.0,113.0
train/26.png,2.0,12.0,32.0,7.0,34.0
train/26.png,4.0,13.0,32.0,8.0,49.0
train/27.png,5.0,26.0,45.0,11.0,46.0
train/27.png,6.0,27.0,45.0,8.0,73.0
train/28.png,5.0,13.0,33.0,8.0,31.0
train/28.png,2.0,10.0,33.0,7.0,42.0
train/29.png,1.0,10.0,18.0,14.0,43.0
train/29.png,3.0,16.0,18.0,13.0,51.0
train/29.png,2.0,5.0,18.0,14.0,66.0
train/30.png,1.0,7.0,25.0,1.0,16.0
